交易日期,总市值,净利润,股票数量,平均市盈率
2018-01-11,4742801747991.198,106508236090.04327,643,44.52990606267838
2018-01-12,4702439508579.671,106602475757.22499,644,44.11191649328053
2018-01-15,4555857270188.885,106482275673.99399,643,42.78512307660565
2018-01-16,4568944884987.5205,106703400585.24397,643,42.819112230049775
2018-01-17,4623195194944.562,107423042941.19131,644,43.037276438682966
2018-01-18,4593322401173.279,106612450433.26747,642,43.08429627596266
2018-01-19,4588571110513.748,106710279535.05673,643,43.000272612033584
2018-01-22,4632315400910.193,106326493811.17462,639,43.5668969686589
2018-01-23,4648405866212.408,106650971580.80472,643,43.5852181870703
2018-01-24,4823889149350.582,106291220690.29268,647,45.38370260518737
2018-01-25,4815758963356.005,106844561025.64467,648,45.07257006933777
2018-01-26,4803594615829.789,106926085299.41196,648,44.924441050833146
2018-01-29,4723976506570.8545,106635167133.65002,649,44.30036200581099
2018-01-30,4672932045479.643,106386874467.85872,648,43.92395273245305
2018-01-31,4486307114191.656,105499926528.87639,647,42.5242676634823
2018-02-01,4304511661136.031,104831365725.19376,643,41.061295265578536
2018-02-02,4197853884671.18,102850575183.09007,630,40.81507446310675
2018-02-05,4038637585849.741,100083406945.66327,616,40.352718888180696
2018-02-06,3790425954163.967,99649266668.90544,615,38.037670329858344
2018-02-07,3825668808207.6772,99475593697.21977,611,38.458366178261876
2018-02-08,3906559096415.747,99531666720.58165,611,39.24940900851939
2018-02-09,3808020274134.219,99546325573.83717,611,38.25375022315284
2018-02-12,3963416000000.0,100231565573.89868,615,39.54259296766002
2018-02-13,3970385824997.3306,100526341276.49435,618,39.495974632926476
2018-02-14,3982369113958.621,100925182228.52979,623,39.45862693555657
2018-02-22,4097689134920.4717,102162431915.55058,628,40.10954964646593
2018-02-23,4131957343572.7485,103092836692.81635,635,40.07996555458706
2018-02-26,4283351288950.851,103259557654.34996,636,41.48140265416301
2018-02-27,4349628000000.0,103960951588.90802,639,41.839055275289326
2018-02-28,4364889981589.3506,103660758176.54337,638,42.10744797134862
2018-03-01,4455030583369.98,104050716798.86813,637,42.81595283943726
2018-03-02,4431761279453.367,104319293378.50449,639,42.48266198826222
2018-03-05,4481646177534.541,103970274952.81873,637,43.105071902217176
2018-03-06,4495593405833.471,103755021485.91649,634,43.328923665094074
2018-03-07,4475919115235.118,103832889371.58908,634,43.106949467784204
2018-03-08,4520326542282.94,103972446656.3175,634,43.47619670069849
2018-03-09,4668530545428.263,103999808880.67516,634,44.88979927631147
2018-03-12,4777676295814.908,104636177325.87968,636,45.65988951350237
2018-03-13,4747529984926.837,104751381158.31927,635,45.321884374502986
2018-03-14,4661491986578.95,104683002870.28778,635,44.52959753509348
2018-03-15,4597375777758.111,104490557121.31264,632,43.99800234982571
2018-03-16,4577053940451.501,103722657510.89621,633,44.12781209323214
2018-03-19,4669772659860.42,103847618626.97192,635,44.96754688843254
2018-03-20,4688380727836.172,103224873917.55388,631,45.41909861358417
2018-03-21,4611782967780.199,103365620650.8947,631,44.61621706269202
