candle_end_time,open,high,low,close,amount,info
1993-12-22,837.540,852.630,819.680,821.190,2060200.000,
1993-12-23,820.540,839.410,820.540,833.770,1031250.000,
1993-12-24,841.660,845.070,828.810,834.390,918480.000,
1993-12-27,841.490,843.970,837.830,839.900,1004940.000,
1993-12-28,851.380,854.650,836.170,839.570,1438029.000,
1993-12-29,839.560,839.560,820.060,821.160,937012.000,
1993-12-30,819.140,835.210,816.360,826.230,739747.000,
1993-12-31,829.160,834.860,825.460,833.800,697062.000,
1994-01-03,837.700,840.650,831.660,833.900,1010059.000,
1994-01-04,835.970,836.970,829.890,832.690,652743.000,
1994-01-05,829.300,847.050,823.100,846.980,894120.000,
1994-01-06,850.780,869.330,850.780,869.330,1845119.000,
1994-01-07,875.180,883.990,873.010,879.640,1686880.000,
1994-01-10,891.990,900.300,889.730,900.300,1875950.000,
1994-01-11,903.540,907.090,884.000,891.790,1368500.000,
1994-01-12,891.830,900.230,885.880,888.040,1274300.000,
1994-01-13,889.020,899.140,888.800,897.460,807920.000,
1994-01-14,900.130,900.990,842.620,849.230,2429250.000,
1994-01-17,861.340,868.880,856.500,859.280,1083500.000,
1994-01-18,859.300,859.300,826.010,835.060,952694.000,
1994-01-19,835.080,835.080,794.170,807.500,961659.000,
1994-01-20,791.000,804.250,777.830,802.610,897650.000,
1994-01-21,800.550,815.750,794.970,812.880,831842.000,
1994-01-24,830.160,839.200,824.420,839.200,1252909.000,
1994-01-25,838.060,842.040,815.230,815.890,1397290.000,
1994-01-26,828.340,828.400,810.320,812.410,854491.000,
1994-01-27,813.540,819.790,813.540,818.600,387437.000,
1994-01-28,818.320,818.340,795.070,799.260,968162.000,
1994-01-31,781.540,781.740,760.780,770.250,812960.000,
1994-02-01,770.250,770.280,750.610,755.150,491702.000,
1994-02-02,753.100,772.200,753.100,772.200,582879.000,
1994-02-03,775.200,792.520,775.200,780.170,1066850.000,
1994-02-04,784.060,797.880,782.340,797.860,1419540.000,
1994-02-14,813.950,818.570,779.090,779.910,1149079.000,
1994-02-15,775.850,777.420,761.640,772.760,643441.000,
1994-02-16,775.140,779.250,773.130,776.100,538945.000,
1994-02-17,773.670,774.480,763.810,768.570,514818.000,
1994-02-18,768.130,771.800,768.130,769.180,492712.000,
1994-02-21,769.940,769.940,752.620,754.410,449854.000,
1994-02-22,751.680,772.820,749.740,768.170,647102.000,
1994-02-23,768.520,769.960,757.240,759.710,402095.000,
1994-02-24,761.410,761.410,749.630,758.840,1472420.000,
1994-02-25,767.570,787.670,765.450,787.420,2347519.000,
1994-02-28,785.820,795.200,770.980,770.980,2850030.000,
1994-03-01,771.520,775.680,756.630,757.290,1227370.000,
1994-03-02,755.530,760.440,740.630,742.060,1291179.000,
1994-03-03,739.390,745.710,727.990,734.450,1002259.000,
1994-03-04,729.140,735.970,724.330,726.300,1135279.000,
1994-03-07,718.350,718.790,714.050,718.400,307823.000,
1994-03-08,721.650,728.760,705.650,711.270,1712450.000,
1994-03-09,715.870,722.040,710.000,716.110,2695069.000,
1994-03-10,717.720,741.440,694.030,698.890,2940280.000,
1994-03-11,700.320,717.950,694.320,717.380,3169069.000,
1994-03-14,774.770,788.420,751.200,788.420,4827180.000,
1994-03-15,800.760,800.940,766.600,772.760,4687750.000,
1994-03-16,767.660,793.870,766.650,793.870,3699460.000,
1994-03-17,805.410,807.520,772.090,776.040,3455369.000,
1994-03-18,777.050,781.180,753.060,765.220,2566180.000,
1994-03-21,755.860,757.550,731.050,731.620,1679040.000,
1994-03-22,726.160,739.320,724.380,739.310,1309990.000,
1994-03-23,739.380,740.380,723.890,725.210,1986509.000,
1994-03-24,725.200,735.490,719.820,724.300,2825219.000,
1994-03-25,732.610,737.160,714.590,719.050,2314900.000,
1994-03-28,702.420,709.190,696.520,702.230,1986219.000,
1994-03-29,706.370,711.480,700.520,706.910,2201980.000,
1994-03-30,710.350,714.100,703.990,706.340,2023569.000,
1994-03-31,709.910,713.600,701.460,704.460,2496750.000,
1994-04-01,704.930,705.410,691.860,698.840,1654990.000,
1994-04-04,698.190,700.210,692.510,694.380,2181419.000,
1994-04-05,695.200,698.590,681.020,682.750,1503540.000,
1994-04-06,682.230,683.480,675.570,679.740,1097690.000,
1994-04-07,678.110,684.550,674.720,677.310,1188220.000,
1994-04-08,678.130,680.570,675.250,678.850,914266.000,
1994-04-11,668.850,670.270,657.100,659.050,1173090.000,
1994-04-12,655.340,665.810,652.560,665.610,1078179.000,
1994-04-13,673.600,674.500,654.940,656.790,1548429.000,
1994-04-14,651.820,654.570,634.580,636.080,1630720.000,
1994-04-15,630.570,630.830,592.310,626.790,2369340.000,
1994-04-18,619.510,619.530,597.730,604.150,1587920.000,
1994-04-19,597.780,600.660,571.440,572.730,1710159.000,
1994-04-20,560.790,563.240,536.870,540.240,1814450.000,
1994-04-21,536.340,588.000,536.340,582.430,2191990.000,
1994-04-22,586.830,599.010,563.790,566.070,3213059.000,
1994-04-25,566.630,572.390,555.760,560.800,1931559.000,
1994-04-26,565.470,579.910,565.470,579.720,1423890.000,
1994-04-27,590.990,598.580,583.290,598.500,2916959.000,
1994-04-28,605.980,616.090,593.810,599.630,3579689.000,
1994-04-29,598.350,610.950,585.770,592.560,2604830.000,
1994-05-03,593.940,605.770,588.950,605.770,1400759.000,
1994-05-04,615.810,620.940,610.380,619.580,2380000.000,
1994-05-05,608.360,609.850,585.230,590.870,1907680.000,
1994-05-06,589.230,592.750,575.250,585.800,1776200.000,
1994-05-09,587.940,588.380,576.940,581.700,1749040.000,
